"inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word"
"bnew_10,bnew_10_0014,ɒ,28,0.14207568599726983,417.91792431400273,418.06,-,-,0,nursing,707,417.8364346060573,418.18955667382085,called,services"
"bnew_10,bnew_10_0015,æ,30,0.10846446433066603,418.31973648226364,418.4282009465943,-,-,0,services,708,418.18955667382085,418.78714786542076,nursing,nurses"
"bnew_10,bnew_10_0016,ɔ,32,0.07605706074900809,540.1839815873286,540.2600386480776,-,-,0,burn,902,540.13,540.3523936504158,their,cocoa"
"bnew_10,bnew_10_0017,ɑ,34,0.15000000000009095,581.17,581.32,-,-,0,burnt,966,581.08,581.53,the,cocoa"
"bnew_10,bnew_10_0018,ɜ,36,0.1352144523871175,583.86,583.9952144523871,-,-,0,thirty,973,583.83,584.27,one,six"
"bnew_10,bnew_10_0019,æ,38,0.09000000000003183,607.48,607.57,-,-,0,inferno,1044,607.26,607.84,the,-"
"btal_01,btal_01_0001,ɔ,2,0.18536587460241805,33.57512334931088,33.7604892239133,-,-,0,world,96,33.44,33.89,the,-"
"btal_01,btal_01_0002,ɛ,4,0.19648782707855617,51.04491242917633,51.241400256254884,-,-,0,intern,142,50.76,51.32,House,-"
"btal_01,btal_01_0003,ɒ,6,0.11999999999999744,54.61,54.73,-,-,0,world,154,54.54,54.97,-,-"
"btal_01,btal_01_0004,ɒ,8,0.2526132995750032,92.67,92.922613299575,-,-,0,world,262,92.59,93.1,whole,-"
"btal_01,btal_01_0005,ɛ,10,0.1270424221301596,94.56,94.68704242213016,-,-,0,determine,268,94.32,94.89,to,-"
"btal_01,btal_01_0006,ɔ,12,0.10000000000000853,109.69,109.79,-,-,0,turn,305,109.56,109.85,to,their"
"btal_01,btal_01_0007,ɔ,14,0.14000000000001478,165.64,165.78,-,-,0,purpose,478,165.53,166.03,his,in"
"btal_01,btal_01_0008,ɒ,16,0.2300000000000182,183.92,184.15,-,-,0,first,533,183.8,184.24,at,it"
"btal_01,btal_01_0009,ɔ,18,0.18999999999999773,225.71,225.9,-,-,0,turned,641,225.62,225.93,who,his"
"btal_01,btal_01_0010,ɛ,20,0.1599999999999966,234.62,234.78,-,-,0,purpose,665,234.48,235.1,great,-"
"btal_01,btal_01_0011,ɒ,22,0.12000000000000455,240.44,240.56,-,-,0,turbulent,681,240.3,241.02,the,-"
"btal_01,btal_01_0012,æ,24,0.11000000000001364,258.14,258.25,-,-,0,determine,717,257.94,258.49,to,why"
"btal_01,btal_01_0013,ɛ,26,0.07999999999998408,269.8,269.88,-,-,0,personality,749,269.7,270.46,a,type"
"btal_01,btal_01_0014,ɔ,28,0.22000000000002728,329.59,329.81,-,-,0,words,913,329.5,330.17,Clinton's,-"
"btal_01,btal_01_0015,ɔ,30,0.14999999999997726,333.11,333.26,-,-,0,worst,924,332.95,333.42,the,-"
"btal_01,btal_01_0016,ɛ,32,0.160000000000025,402.01,402.17,-,-,0,earned,1087,402.01,402.2,hard,money"
"btal_04,btal_04_0001,ɛ,2,0.1999999999999993,20.84,21.04,-,-,0,words,60,20.73,21.13,his,-"
"btal_04,btal_04_0002,æ,4,0.0899999999999892,77.04,77.13,-,-,0,experts,200,76.62,77.19,engage,-"
"btal_04,btal_04_0003,æ,6,0.21063794050579077,132.33936205949422,132.55,-,-,0,concert,350,132.02,132.58,in,-"
"btal_04,btal_04_0004,ɒ,8,0.04999999999998295,132.87,132.92,-,-,0,working,352,132.74,133.2,-,-"
"btal_04,btal_04_0005,ɑ,10,0.06999999999999318,152.84,152.91,-,-,0,affirm,414,152.78,153.01,to,that"
"btal_04,btal_04_0006,æ,12,0.2017750354345651,165.89,166.09177503543455,-,-,0,affirmed,446,165.69,166.25,we,to"
"btal_04,btal_04_0007,ɑ,14,0.11536783105154313,185.61859645180405,185.7339642828556,-,-,0,observance,508,185.32,185.74617669069528,the,of"
"btal_04,btal_04_0008,æ,16,0.10661725996888549,207.78,207.8866172599689,-,-,0,services,569,207.75,208.19,care,-"
"btal_04,btal_04_0009,ɔ,18,0.08476003913989416,215.9026923154706,215.9874523546105,-,-,0,work,587,215.71,215.98,but,work"
"btal_04,btal_04_0010,æ,20,0.08476003913989416,366.57575696625213,366.660517005392,-,-,0,emergency,1054,366.41,366.99,national,-"
"btal_04,btal_04_0011,ɔ,22,0.16716563274815144,407.99394441965205,408.1611100524002,-,-,0,work,1171,407.99045042665347,408.21,constitution,-"
"btal_04,btal_04_0012,æ,24,0.267678271021623,434.83,435.0976782710216,-,-,0,observable,1254,434.66,435.48,are,lacunae"
"btal_04,btal_04_0013,ɔ,26,0.14731091354883574,473.35879113909175,473.5061020526406,-,-,0,urge,1362,473.3,473.607714057693,you,never"
"btal_04,btal_04_0014,ɔ,28,0.15999999999996817,516.12,516.28,-,-,0,work,1497,515.98,516.31,-,collectively"
"btal_21,btal_21_0001,ɛ,2,0.2944482729597837,138.7836165954716,139.0780648684314,-,-,0,research,156,138.31,139.4660791920604,royal,fathers"
"btal_21,btal_21_0002,æ,4,0.19668750802253498,160.98326921649752,161.17995672452005,-,-,0,service,180,160.90073303945823,161.5212316871861,ministers,-"
"btal_21,btal_21_0003,ɒ,6,0.17384977818369407,265.9363545194765,266.1102042976602,-,-,0,purpose,374,265.6398214768625,266.45422595200523,-,and"
"btal_21,btal_21_0004,ɔ,8,0.11903228055820136,276.25638917992353,276.37542146048173,-,-,0,word,394,276.05,276.45574943746675,in,other"
"btal_21,btal_21_0005,ɑ,10,0.18637949192662973,308.1097205839742,308.2961000759008,-,-,0,serve,462,308.04,308.7258663034299,not,by"
"btal_21,btal_21_0006,æ,12,0.15192277913354246,339.21052859756435,339.3624513766979,-,-,0,serve,528,339.0936048799421,339.62,the,people"
"btal_21,btal_21_0007,æ,14,0.11866308797721103,349.60272250239575,349.72138559037296,-,-,0,Sir,551,349.55,349.73,of,Ahmadu"
"btal_21,btal_21_0008,æ,16,0.061082354496988955,359.9967406043841,360.0578229588811,-,-,0,circumstances,576,359.8403719664685,360.671396941104,normal,-"
"btal_21,btal_21_0009,ɑ,18,0.12059849477606122,427.4789850446621,427.5995835394382,-,-,0,Sir,710,427.43,427.61,of,Ahmadu"
"btal_21,btal_21_0010,ɑ,20,0.15662142178706517,438.1908884131936,438.34750983498066,-,-,0,service,729,437.9,438.48204133884025,devoted,the"
"btal_21,btal_21_0011,ɔ,22,0.07047963980420491,440.43903612307196,440.50951576287616,-,-,0,worship,736,440.4,440.61,the,of"
"btal_21,btal_21_0012,æ,24,0.13312820851905371,457.1797078061245,457.31283601464355,-,-,0,personality,771,457.11342094029595,457.49,towering,of"
"btal_21,btal_21_0013,ɑ,26,0.146968889120501,458.6428664843735,458.789835373494,-,-,0,Sir,776,458.5196671136777,458.8354566040392,-,Bello"
"btal_21,btal_21_0014,ɛ,28,0.06578099715056851,459.82342649863983,459.8892074957904,-,-,0,certainly,779,459.77,460.12,-,not"
"btal_21,btal_21_0015,ɑ,30,0.22372953607151658,503.28,503.5037295360715,-,-,0,virtues,875,503.19,503.95,the,and"
"btal_21,btal_21_0016,ɑ,32,0.1693788758627761,551.2448170153247,551.4141958911874,-,-,0,sterling,969,551.17,551.66,those,qualities"
"btal_21,btal_21_0017,ɒ,34,0.15634973156568321,583.0400315384508,583.1963812700164,-,-,0,worth,1043,582.9972123350506,583.3739436568853,of,virtues"
"btal_21,btal_21_0018,ɑ,36,0.174590533581636,583.3988470718315,583.5734376054131,-,-,0,virtues,1044,583.3739436568853,583.92,worth,of"
"btal_21,btal_21_0019,ɑ,38,0.09641566779873756,584.3886360302623,584.485051698061,-,-,0,Sir,1047,584.29,584.69,Sir,Bello"
"btal_21,btal_21_0020,æ,40,0.16677304700328932,599.3950811280131,599.5618541750164,-,-,0,deserve,1078,599.2073502302859,599.66,that,Nigeria"
"btal_21,btal_21_0021,ɒ,42,0.10162732551771114,611.3735614845085,611.4751888100262,-,-,0,burden,1104,611.25,612.2,a,and"
"btal_21,btal_21_0022,æ,44,0.09000000000003183,616.75,616.84,-,-,0,earnestly,1117,616.65,617.13,need,today"
"btal_21,btal_21_0023,æ,46,0.10162732551759746,622.1825127486374,622.284140074155,-,-,0,determination,1130,622.08,622.81,the,to"
"btal_21,btal_21_0024,æ,48,0.060344751703837574,659.8825611867411,659.9429059384449,-,-,0,certain,1199,659.81,660.04,the,number"
"btal_21,btal_21_0025,æ,50,0.05576160600480762,663.764244275676,663.8200058816808,-,-,0,certain,1212,663.6669637786013,664.1267975978996,are,things"
"btal_21,btal_21_0026,æ,52,0.1596462418496003,691.2306627691906,691.3903090110402,-,-,0,thirtieth,1274,690.95,691.69,August,two"
"btal_21,btal_21_0027,æ,54,0.15200766568455037,702.7631055990506,702.9151132647352,-,-,0,Sir,1299,702.71,702.92,premier,Ahmadu"
"btal_21,btal_21_0028,ɔ,56,0.1596462418496003,748.3322964843139,748.4919427261635,-,-,0,further,1384,747.98,748.69,was,amplified"
"btal_21,btal_21_0029,ɑ,58,0.1848535431943219,780.5116393754854,780.6964929186797,-,-,0,Sir,1452,780.5080621799015,780.76,aspiration,of"
"btal_21,btal_21_0030,ɔ,60,0.11260766235966457,852.6082711228079,852.7208787851675,-,-,0,networking,1590,852.29,853.73,and,with"
"btal_21,btal_21_0031,ɒ,62,0.09395448683017094,938.2906942552144,938.3846487420445,-,-,0,teamwork,1759,938.07,939.047299226737,the,-"
"btal_21,btal_21_0032,æ,64,0.12985579480584875,944.0972161155945,944.2270719104004,-,-,0,person,1777,944.04,944.45,person,be"
"btal_21,btal_21_0033,ɑ,66,0.16929066714578767,1002.9004673598653,1003.0697580270111,-,-,0,Sir,1895,1002.87,1003.0731269955114,by,Ahmadu"
"btal_21,btal_21_0034,ɔ,68,0.1023569206117827,1024.4835405802194,1024.5858975008312,-,-,0,furtherance,1950,1024.45,1025.33,and,under"
"btal_21,btal_21_0035,ɑ,70,0.15277152330099852,1063.9901188281308,1064.1428903514318,-,-,0,Sir,2038,1063.98,1064.28,of,Bello"
"btal_22,btal_22_0001,æ,2,0.167127401694124,42.51546833117155,42.68259573286567,-,-,0,servant,45,42.504989,42.97,chief,Niger"
"btal_22,btal_22_0002,ɔ,4,0.0880204315589026,196.44670730676657,196.53472773832547,-,-,0,pursue,257,196.27,198.33,to,projects"
"btal_22,btal_22_0003,æ,6,0.27250122846226077,203.49137898329604,203.7638802117583,-,-,0,serve,260,203.2450207441865,203.96285941429318,and,-"
"btal_22,btal_22_0004,æ,8,0.2094737334437866,212.92460658073983,213.13408031418362,-,-,0,Sir,282,212.91920579929965,213.12622749300294,of,Ahmadu"
"btal_22,btal_22_0005,ɛ,10,0.22059623256470218,220.80940911589184,221.03000534845654,-,-,0,serve,294,220.65363274655593,221.16850535265743,the,foundation"
"btal_22,btal_22_0006,æ,12,0.213181233150749,229.23433761902325,229.447518852174,-,-,0,Sir,307,229.2337566044226,229.45,the,Ahmadu"
"btal_22,btal_22_0007,æ,14,0.15487139223654367,250.39594172363988,250.55081311587642,-,-,0,research,343,250.1535265676648,250.85,must,research"
"btal_22,btal_22_0008,æ,16,0.13481610403326272,254.9742304228221,255.10904652685537,-,-,0,service,360,254.94,255.6984000247032,easily,above"
"btal_22,btal_22_0009,æ,18,0.16824158437208325,293.15117112145987,293.31941270583195,-,-,0,service,398,292.7792969675945,293.6250817974827,of,-"
"btal_22,btal_22_0010,æ,20,0.16712740169407425,302.1591389656727,302.32626636736677,-,-,0,servant,409,302.1456881499843,302.6995241662105,leadership,qualities"
"btal_22,btal_22_0011,ɒ,22,0.13258773867732998,362.8902539409378,363.0228416796151,-,-,0,worthy,514,362.91,363.4,human,is"
"btal_22,btal_22_0012,æ,24,0.17074557029292237,375.327834395927,375.49857996621995,-,-,0,firm,528,375.33453073233005,375.55,people,loved"
"btal_22,btal_22_0013,ɔ,26,0.12819778804083626,401.93198300283444,402.0601807908753,-,-,0,worthy,577,401.93,402.14,a,are"
"btal_22,btal_22_0014,æ,28,0.22506490094809806,404.8024703095244,405.0275352104725,-,-,0,research,582,404.5,405.2617015715489,study,deserves"
"btal_22,btal_22_0015,æ,30,0.23063581433785885,408.9194873800309,409.15012319436875,-,-,0,learn,593,408.84154822496924,409.68,to,live"
"btal_22,btal_22_0016,ɑ,32,0.2306358143379157,419.27002802097707,419.500663835315,-,-,0,Sir,621,419.13369359798907,419.5037578691216,with,Ahmadu"
"btal_22,btal_22_0017,ɔ,34,0.1370444693891386,424.25057980212006,424.3876242715092,-,-,0,work,629,424.2215872054127,424.54,some,my"
"btal_22,btal_22_0018,æ,36,0.14834797426317436,498.23506337182044,498.3834113460836,-,-,0,Sir,740,498.21178169998024,498.39221465674217,President,-"
"btal_22,btal_22_0019,æ,38,0.13043064397379567,532.360131189555,532.4905618335288,-,-,0,personally,794,532.33,532.9079820568886,of,man"
"btal_22,btal_22_0020,æ,40,0.1637176848875015,673.6376977351457,673.8014154200332,-,-,0,search,975,673.6178320158907,673.8649476559597,that,the"
"btal_22,btal_22_0021,ɜ,42,0.13754504273595103,675.9162226345793,676.0537676773152,-,-,0,work,985,675.9162226345793,676.1,of,Sir"
"btal_22,btal_22_0022,ɛ,44,0.2371466254068082,686.9771968151703,687.2143434405771,-,-,0,serve,1006,686.9650098563486,687.44,selflessly,in"
